Transformation,Mean,Median,Std Dev,Skewness,Kurtosis,Normality Score
Original,26.838277665030006,7.0,111.3161929916802,42.274856918089974,3494.8497419609153,3537.124598879005
Log(x+1),2.2072000660095474,2.0794415416798357,1.3846125249734593,0.4022623701414936,-0.18524127434659388,0.5875036444880875
Square Root,3.650895411909918,2.6457513110645907,3.675499873039711,4.186988442801367,45.3159723705956,49.50296081339697
Box-Cox,1.9609898447579546,2.028652820824055,1.2389310804707798,0.02247038460967639,-0.6644079177262299,0.6868783023359063
Yeo-Johnson,1.855100979352822,1.8423376978362078,1.0479633878958994,0.034819500608183236,-0.6688107739570333,0.7036302745652165
Cube Root,2.1601700420244443,1.9129311827723894,1.3918531488161274,1.5590968701105659,7.073855579499344,8.63295244960991
