feature,importance
condition_graded_dayofweek,0.0
condition_graded_hour,0.0
condition_graded_day,0.0
condition_graded_month,0.0
condition_graded_year,0.0
item_id_timestamp,0.0
item_id_dayofweek,0.0
item_id_hour,0.0
item_id_day,0.0
condition_unknown_hour,0.0
condition_unknown_day,0.0
condition_unknown_month,0.0
condition_unknown_year,0.0
condition_new_timestamp,0.0
condition_new_dayofweek,0.0
condition_new_hour,0.0
condition_new_day,0.0
condition_new_month,0.0
condition_new_year,0.0
condition_lightly used_timestamp,0.0
condition_lightly used_dayofweek,0.0
condition_lightly used_hour,0.0
condition_lightly used_day,0.0
condition_lightly used_month,0.0
condition_lightly used_year,0.0
items_many_timestamp,0.0
items_many_dayofweek,0.0
items_many_hour,0.0
items_many_day,0.0
items_many_month,0.0
items_many_year,0.0
items_several_timestamp,0.0
items_several_dayofweek,0.0
items_several_hour,0.0
items_several_day,0.0
items_several_month,0.0
items_several_year,0.0
items_few_timestamp,0.0
items_few_dayofweek,0.0
items_few_hour,0.0
items_few_day,0.0
